City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
354,Kuusamo,FI,65.9667,29.1833,33.84,80,0,11.5
355,Filingue,NE,14.3521,3.3168,91.58,14,98,2.77
356,Wick,GB,58.4333,-3.0833,51.85,87,75,19.57
357,Natal,BR,-5.795,-35.2094,82.62,61,40,17.27
358,Tocopilla,CL,-22.092,-70.1979,66.34,62,21,8.48
359,Mangai,CD,-4.05,19.5333,70.18,99,100,3.11
360,Pitimbu,BR,-7.4706,-34.8086,82.99,63,36,14.0
361,Sesimbra,PT,38.4445,-9.1015,66.74,86,100,12.26
362,Viedma,AR,-40.8135,-62.9967,74.88,23,71,21.05
363,Gazli,UZ,40.1333,63.45,57.25,27,13,10.45
364,Monster,NL,52.0258,4.175,61.99,91,100,5.75
365,Arroyo,ES,41.6096,-4.7969,58.14,82,100,13.8
366,Oranjemund,NA,-28.55,16.4333,60.35,83,100,22.15
367,San Pedro,PH,14.35,121.0167,79.83,91,75,4.61
368,Moquegua,PE,-17.1956,-70.9353,75.69,25,44,12.15
369,Buta,CD,2.7858,24.73,73.08,90,94,0.92
370,Thompson,CA,55.7435,-97.8558,53.76,62,75,5.75
371,Visnes,NO,59.3556,5.2242,42.85,81,0,5.75
372,Tarnogskiy Gorodok,RU,60.4997,43.5761,36.36,89,100,8.12
373,Paita,PE,-5.0892,-81.1144,67.19,72,84,13.29
374,Manturovo,RU,58.3353,44.7619,34.65,89,74,6.4
375,Kemi,FI,65.8596,24.8228,31.77,93,0,2.3
376,Hofn,IS,64.2539,-15.2082,41.29,74,100,13.96
377,Japura,ID,-0.3167,102.35,75.06,97,100,1.74
378,Iquitos,PE,-3.7481,-73.2472,84.24,79,75,4.61
379,Kama,RU,56.3051,54.0936,38.88,73,99,7.23
380,Umm Lajj,SA,25.0213,37.2685,82.13,64,5,6.93
381,Kutum,SD,14.2,24.6667,81.0,24,71,8.68
382,Qaqortoq,GL,60.7167,-46.0333,33.87,59,22,2.44
383,Port Shepstone,ZA,-30.7414,30.455,72.66,82,100,20.36
384,Mahibadhoo,MV,3.7833,72.9667,82.02,74,100,15.14
385,Guiratinga,BR,-16.3494,-53.7583,87.75,42,92,17.45
386,Parry Sound,CA,45.3501,-80.033,42.85,61,99,8.68
387,Northwich,GB,53.2614,-2.5123,57.81,94,75,2.3
388,Oistins,BB,13.0667,-59.5333,82.09,75,30,8.79
389,Dhidhdhoo,MV,6.8833,73.1,81.75,78,100,15.57
390,Nantucket,US,41.2835,-70.0995,58.08,68,1,22.44
391,Kizema,RU,61.113,44.8302,32.77,87,96,7.27
392,Huancavelica,PE,-12.7667,-74.9833,56.43,26,80,7.38
393,Mitsamiouli,KM,-11.3847,43.2844,75.88,78,29,8.7
394,Rockland,US,41.1668,-74.0496,59.36,38,0,1.99
395,Zorgo,BF,12.2489,-0.6158,88.14,27,100,2.77
396,Aripuana,BR,-9.1667,-60.6333,89.33,49,100,2.42
397,Mimongo,GA,-1.6195,11.6068,70.5,98,100,1.41
398,Konotop,UA,51.2403,33.2026,44.38,64,100,14.12
399,Zemio,CF,5.0314,25.1361,70.25,91,86,3.29
400,Morondava,MG,-20.2833,44.2833,78.21,81,8,8.12
401,Galle,LK,6.0367,80.217,78.08,89,100,11.92
402,Maicao,CO,11.3832,-72.2432,86.65,62,27,10.74
403,Azacualpa,HN,15.3433,-88.5514,75.31,91,99,2.21
404,Palmeira,BR,-25.4294,-50.0064,65.89,80,100,3.22
405,Mwinilunga,ZM,-11.7358,24.4293,71.73,33,92,4.65
406,Mercedes,AR,-34.6515,-59.4307,78.64,35,100,9.48
407,Kisesa,TZ,-3.0833,34.15,76.59,41,98,11.32
408,Moose Factory,CA,51.2585,-80.6094,35.58,93,100,14.97
409,Suda,RU,59.1525,37.5582,37.51,90,100,7.4
410,Kashi,CN,39.4547,75.9797,53.65,28,1,6.2
411,Bosaso,SO,11.2842,49.1816,79.97,65,30,2.68
412,Sur,OM,22.5667,59.5289,80.71,45,0,5.48
413,Moyale,KE,3.5167,39.0584,74.44,53,100,9.06
414,Eqbaliyeh,IR,35.3022,51.5358,69.62,33,100,2.95
415,Biltine,TD,14.5333,20.9167,89.64,20,96,5.28
416,Ferme-Neuve,CA,46.7001,-75.4493,41.02,81,96,11.59
417,Grand-Lahou,CI,5.1367,-5.0242,77.59,87,100,8.08
418,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,81,14,19.15
419,Vuktyl,RU,63.8567,57.3094,30.49,94,100,17.2
420,Niquero,CU,20.0431,-77.5828,85.75,63,66,4.83
421,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.54,79,26,22.77
422,Faya,SA,18.3851,42.4509,62.58,49,0,0.34
423,Arlit,NE,18.7369,7.3853,84.67,14,5,10.49
424,Veinticinco De Mayo,AR,-35.4323,-60.1727,79.99,45,100,3.0
425,Chekalin,RU,54.0969,36.245,36.63,89,9,6.55
426,Manono,CD,-7.3,27.4167,75.45,66,100,2.21
427,Bracebridge,CA,45.0334,-79.3163,43.88,93,100,6.91
428,Suffolk,US,40.8668,-72.7996,59.86,54,0,20.36
429,Key Largo,US,25.0865,-80.4473,79.0,72,0,9.37
430,Sattenapalle,IN,16.4,80.1833,74.03,95,16,3.04
431,Raudeberg,NO,61.9875,5.1352,37.96,63,0,7.96
432,Manaure,CO,11.7751,-72.4445,89.04,58,99,13.44
433,Adre,TD,13.4667,22.2,82.99,29,100,5.17
434,Ghanzi,BW,-21.5667,21.7833,79.03,30,32,2.66
435,Vagur,FO,61.4732,-6.8119,48.63,90,100,25.93
436,Santa Rosa,PH,14.3122,121.1114,80.58,92,100,2.19
437,Ati,TD,13.2154,18.3353,92.08,22,60,2.48
438,Kifri,IQ,34.6959,44.9661,81.21,16,100,8.37
439,Ekuvukeni,ZA,-28.4675,30.1551,63.16,91,100,4.47
440,Piacabucu,BR,-10.4056,-36.4344,79.34,63,5,10.31
441,Montepuez,MZ,-13.1256,38.9997,71.82,67,13,8.14
442,Aguilas,ES,37.4063,-1.5829,73.78,79,100,1.83
443,Tsiroanomandidy,MG,-18.7667,46.0333,72.07,64,100,8.08
444,Jilemnice,CZ,50.6089,15.5065,46.99,81,54,4.63
445,Chapadinha,BR,-3.7417,-43.3603,98.78,27,81,1.34
446,Paamiut,GL,61.994,-49.6678,34.74,54,100,7.29
447,La Asuncion,VE,11.0333,-63.8628,91.13,55,20,11.5
448,Canutama,BR,-6.5339,-64.3831,89.17,53,100,2.71
449,Ipira,BR,-12.1583,-39.7372,90.07,29,7,3.29
450,Botwood,CA,49.1499,-55.3482,61.9,93,100,13.38
451,Marawi,PH,7.9986,124.2928,69.22,94,100,2.13
452,Kindu,CD,-2.95,25.95,71.38,98,100,2.17
453,Balkanabat,TM,39.5108,54.3671,76.14,29,100,4.32
454,Aswan,EG,24.0934,32.907,82.89,34,5,16.71
455,Middle Island,US,40.8843,-72.9373,59.85,47,0,21.85
456,Ust-Kan,RU,50.9276,84.761,35.11,79,100,9.55
457,Quelimane,MZ,-17.8786,36.8883,77.07,83,30,6.38
458,Aketi,CD,2.7388,23.7833,77.04,75,100,0.49
459,Vetluzhskiy,RU,58.3902,45.4654,35.6,87,79,6.73
460,Kumbakonam,IN,10.9667,79.3833,76.39,91,100,5.37
461,Gairo,IT,39.8497,9.5047,62.17,87,1,0.72
462,Berlevag,NO,70.8578,29.0864,37.35,65,100,19.57
